n,seccion,comentario_limpio
535,1,"Reservar mesa antes de llegar al restaurante, mes del cumpleañero, cuponera por visitas. Tarjeta Club Casa Toño registrando visitas y acumulando puntos, ráscale después de cierta cantidad de consumo y gana alguna cortesía, dinámicas en redes sociales."
536,1,El pollo está muy salado.
537,2,"El modo de tratar al cliente es pésimo, ojalá la capaciten (la recepción 3 de enero, 3 p. m.)."
538,5,"Que tomen bien las órdenes, no me pusieron rábanos y me trajeron pozole de maciza en vez de surtida como lo pedí."
539,2,.
540,1,Está muy bien el lugar.
541,4,"Todo bien, sigan así."
542,1,"No corran por los pasillos, es desagradable sentir que tú también te quieres levantar y salir corriendo del lugar."
543,5,Todo excelente
544,4,Todo ok
545,4,Gracias...
546,4,"Por favor, proporciona el texto que deseas que corrija."
547,1,Felicidades.
548,1,"Las flautas están muy duras, el pozole parecía atole."
549,1,Muy rico todo :)
550,2,Todo excelente.
551,2,Excelente servicio
552,5,Todo increíble!!! AMOOOOO
553,2,En esta ocasión el pozole estaba muy saladado.
554,2,Los precios subieron mucho y la calidad de los alimentos diferentes al pozole ya no es tan buena. El servicio de los meseros es excelente y muy atentos.
555,1,"Excelente servicio, gracias."
556,2,Que las salsas estén menos picosas.
557,2,Tomar en cuenta las filas.
558,2,Cuiden el tiempo de espera.
559,2,"Traen mal la orden y al final hacen mal la cuenta por traer las cosas equivocadas. En la opción de si volveríamos a visitar Casa Toño o no, también deberían poner la opción ""No sé""."
560,2,Sólo que estresa que corren los meseros.
561,5,"Revisar los sanitarios, los baños de damas sucios."
562,5,"Una mesera dejó el platillo de forma desatenta en la mesa y, al hablarle para pedirle otro producto, no hizo caso."
563,2,No cambien el servicio y la atención de los meseros.
564,1,Muy buena comida.
565,2,Que vuelvan a vender cerveza Corona.
566,2,"Mayor control a la hora de entregar los turnos, que se respete la fila."
567,4,Poner más crema.
568,5,Que sigan así.
569,4,Pueden eficientar un poco más el servicio.
570,4,Excelente servicio. Muchas gracias.
571,2,"Que regresen a vender las coronas, estamos muy molestos por esa razón. Y también que vendan Pacífico y Ultra."
572,4,Gracias
573,5,Lean bien las órdenes ya que traen cosas que no pides.
574,5,Cuando limpiaron la mesa antes de sentarnos quedó oliendo muy feo a trapo sucio. Ojo con eso. Tuvimos que pedir que la limpieran de nuevo y quedó igual...
575,2,Que traigan de tu.
576,5,El Sr. Enrique López defendió su trabajo al 100% de lo agusto que está en su trabajo. Espero lo valoren como él a ustedes.
577,2,Ninguno son los mejores.
578,5,El capitán fue prepotente y no trabajó adecuadamente.
579,2,El agua sabía un poco a refrigerador.
580,4,"Dejar un poco más tostadas en el recipiente, de cualquier forma, siempre se piden más."
581,5,"El servicio es excelente siempre, lo único malo es que hay mucha fila para entrar. Pero ya aquí adentro todo es muy bueno."
582,4,"Todo excelente, muchas gracias como siempre."
583,4,Buen servicio
584,1,Bueno
585,4,Nada
586,1,buen servicio
587,2,Las tostadas estaban muy duras.
588,5,"Mejor atención al personal y procurar ser más serviciales y de mejor humor, ya que la persona que me atendió todo el tiempo tuvo una mala actitud y se portó grosero por un comentario que le hice acerca de lo que pedí para comer, que no era lo que había pedido, hasta que le enseñé la comanda y vio que efectivamente no era lo que había pedido. Por siempre, sus contestaciones fueron groseras. Recomiendo que, si va a haber personas así malhumoradas o que tuvieron un mal día, tomen unos 5 minutos o 10 como mínimo para relajarse y ser más cordiales."
589,4,Gracias.
590,1,"Tienen mala organización y tardan mucho en atender en comparación con otros lugares (Luna Park, por ejemplo, muy rápidos y con excelente atención)."
591,4,"El sope debe tener una consistencia más blanda, el sabor excelente."
592,4,Gran servicio y agilidad.
593,2,Muy buen servicio y la comida excelente.
594,5,"Excelente servicio, gracias 🙂"
595,2,Todo bien.
596,2,Que le pongan más carne al pozole.
597,5,Nos gusta la cerveza Corona y Pacífico.
598,5,Todos muy amables.
599,1,más cantidad de comida en los platillos
600,2,No le apuesto al América.
601,2,Agregar agua de jamaica.
602,2,Ampliar el lugar.
603,4,Ninguno
604,4,Todo excelente
605,1,"El pozole tenía un sabor diferente a las veces pasadas, se lo comenté al capitán de meseros, no me dio ninguna solución y me contestó déspotamente."
606,4,"Todo excelente, somos toñolovers <3"
607,2,"El servicio muy bien, pero la comida tardó un poco y estaba muy salad."
608,2,Gracias
609,4,Excelente servicio
610,5,El personal es muy amable y todo es delicioso.
611,4,Sigan así de excelentes.
612,5,Gracias por el servicio.
613,1,Se tardan mucho en traerte los platillos y nunca te retiran los muertoss.
614,4,"Excelente sabor, servicio y atención del personal."
615,5,"Yes, clean table just a bit better. But it won’t keep me from coming. I love how everyone asks if everything is going well. That’s a plus for me. Great service from the waiters, very attentive to our needs."
616,5,FELICIDADES A TODOS LOS MESEROS Y A TODO EL EQUIPO QUE LABORA POR SUS ATENCIONES.
617,1,"Le comenté al Capitán que, al dirigirse al comensal, lo vea mientras está hablando. A lo que me refiero es que es muy incómodo que le estén hablando a la gente mientras miran a otro lado. Esta acción lo que indica es que hay algo más importante que atender al comensal. De hecho, por una situación similar, fui solo una vez a Casa Toño de San Marcos, y en mi vida me voy a volver a parar ahí."
618,5,El pozole estaba muy batido.
619,5,"Solo que el plato grande sea más grande, pongan más limones y tostadas. Gracias."
620,5,Todo fine
621,5,"Estoy inconforme con el hecho de que no vendan cervezas de Grupo Modelo, como antes lo hacían. En esta ocasión me pareció que los baños estaban sucios."
622,4,Todo bien hasta el momento. Seguir con buen servicio.
623,1,"Excelente servicio, el gerente Toni es el mejor, buen servicio, todos realmente muy atentos."
624,5,"La atención es excelente, además de que los alimentos son ricos y baratos."
625,2,"Todo fue excelente, sigo viniendo y comiendo muy bien."
626,5,"Muy buen servicio, muy buena comida y buenos precios."
627,2,"Excelente, sigan así 👍"
628,2,Es estresante que corran.
629,5,Que permitan tener a mis mascotas :) *Que es muy rápido el tomado de orden y me gustaría volver a venir y que pongan una sucursal en Aguascalientes.
630,5,Me gusta que deja que los comensales se tomen su tiempo en comer. No ejercen presión para atender a las siguientes personas.
631,2,Servicio excelente
632,5,"El servicio es muy bueno, siento que a veces se les olvida las cosas, por ejemplo, más tostadas si las pides, pero en general, bien."
633,4,"Todo delicioso. Pongan sopita de frijol y caldito de pollo, serían un éxito."
634,5,Excelente servicio
635,5,"Excelente servicio, gracias 🙂"
636,2,La capitana que se acercó a mi mesa fue muy grosera y altanera. Le falta empatía con sus empleados y no entiende nada sobre la cordialidad.
637,2,Excelente servicio.
638,4,"No sé si se cambió la crema, pero antes sabía mejor."
639,2,Que sellen el boleto del estacionamiento.
640,1,L
641,2,"Una sucursal en Toluca, por favor. Gracias."
642,5,"La comida fabulosa, visitamos la casa de Toño en vacaciones de invierno. Desde Quintana Roo."
643,2,"El servicio fue más lento de lo esperado, a pesar de que había poca gente."
644,5,"Excelente servicio, gracias 🙂"
645,4,"Ninguno, todo está bien."
646,2,"Han descuidado los productos con naranja, el sabor artificial no es el mejor y los tarros congelados cada vez dejan menos producto y mayor costo."
647,2,El pollo que ocupan para preparar los alimentos sabe muy sintético; no arruinen la calidad del sabor con pésimos ingredientes. Evitemos que esto se dé a conocer en redes sociales.
648,1,Excelente
649,1,Ninguno
650,2,Todo bien.
651,5,Excelente en todo.
652,2,"Nos gusta precio, calidad y servicio."
653,2,"El pozole tibio, lo pedí mis que localrntara ynuevamentetibio."
654,2,El cappuccino está muy dulce.
655,5,Ojalá para un futuro tener salsa de molcajete.
656,1,Ninguno
657,5,Todo excelente
658,5,Me gustó mucho el servicio y la comida.
659,2,Buen servicio y rico sabor.
660,2,Nos gusta todo.
661,2,Los meseros somos unos chingones.
662,2,Solo ten cuidado al manipular vasos y tazas. No tomes por la parte superior donde uno bebe. Por todo lo demás... felicidades.
663,5,Que sigan la excelencia en su calidad.
664,5,Seguir con su excelente servicio.
665,5,Varela
666,2,"Todo bien, gracias."
667,4,Seguir atendiendo así de buena calidad y atención.
668,4,Gracias por todo el buen servicio ☺️
669,2,"Nos gusta precio, calidad y servicio."
670,5,Varela
671,2,"Nos gusta precio, calidad y servicio."
672,1,"Sigan así, excelente."
673,4,Todo muy bien.
674,2,"Nos gusta el precio, la calidad y el servicio."
675,1,Todo bien
676,2,"Nos gusta precio, calidad y servicio."
677,2,Nos gusta todo.
678,5,"Todo excelente, como siempre."
679,2,Las bebidas estaban más dulces de lo usual.
680,1,Sugiero que chequen el sabor del jugo de naranja.
681,5,Seguir manteniendo la misma atención.
682,2,"Poner crema líquida para el café, gracias."
683,4,"El otro día queríamos comer aquí, pero nos fuimos por la larguísima espera."
684,4,Excelente servicio por parte de todos.
685,2,Metan jugo de naranja y verde natural y el agua que no esté salada.
686,1,Salsa chilaquiles estaba muy picante.
687,4,Todo bien.
688,2,Denle aumento a Diana.
689,1,Todo muy bien.
690,5,"Los platillos llegaron fríos, y sus bolillos parecen de días. Están feos, procuren tener bolillos del día."
691,4,Que los alimentos procuren traerlos más calientes.
692,4,Pan muy viejo y refrigerado de días.
693,2,"Nos gusta precio, calidad y servicio."
694,1,Felicidades
695,2,"CREMA, INCLUIR TODO EN EL SERVICIO, NO COBRARLO APARTE, POR FAVOR."
696,1,Muy buen servicio 👍👌
697,2,Metan tocino.
698,1,Que tengan más platillos.
699,1,¡Gracias a todos!
700,4,Muy buen servicio y riquísimo todo.
701,1,Hoy los chilaquiles rojos estuvieron muy salados y el sope de cochinita por igual... 🥹
702,4,No
703,4,"Todo bien, gracias."
704,2,Servir la comida caliente.
705,4,Excelente servicio. ¡Siguen mejorando y esperamos que mantengan el mismo servicio y calidad!
706,5,Todo rico y con mucha amabilidad.
707,2,Los chilaquiles de paquete redujeron su porción.
708,2,Servir la comida caliente.
709,2,Todo ni todo ok
710,5,Cubiertos sin servilleta no me gustó.
711,2,Todo bien
712,2,El capuchino está muy dulce y empalaga.
713,2,"Gracias, todo muy bien y sabroso."
714,2,Todo excelente
715,5,"La atención muy buena, buen servicio."
716,4,"El pan está frío y el jugo y guacamaya también, eso no es muy agradable."
717,4,Felicidades
718,2,"Primera vez, excelente servicio."
719,4,Excelente
720,4,"En los desayunos, ofrecer café y pan dulce a la entrada, en vez de chicharrón y guacamole."
721,4,Excelente servicio
722,4,"Gracias. Todo muy rico, venimos de Francia."
723,2,Nos gusta todo.
724,2,Que pongan copa de frutas.
725,5,Excelente servicio
726,5,Se puede mejorar.
727,4,Sigan con el servicio excelente.
728,5,Ya subieron mucho los precios.
729,5,"Germán, el mesero, excelente."
730,5,Todo bien.
731,5,Se tardaron un poco con los alimentos.
732,5,Soy foráneo y me encanta la comida.
733,2,El pozole debe servirlo más caliente.
734,5,"Capitán y meseros muy amables, muy cordiales."
735,2,Sigan esforzándose más.
736,5,Muy bueno
737,4,Empatía con el cliente
738,2,Muy buen restaurante.
739,2,"Nos gusta precio, calidad y servicio."
740,2,Excelente servicio por parte de la Srta. Miguelina. Muchas gracias.
741,5,Muy rica comida y buen servicio.
742,4,"Todo perfecto, ¡felicidades!"
743,2,Mejorar bolillos.
744,5,Quiero felicitar al equipo y su gran trabajo; los meseros tienen mi admiración y mi respeto.
745,2,Todo excelente.
746,4,Es lo mejor.
747,1,"Todo está excelente, gracias."
748,5,Muy bueno el flan de la abuela.
749,1,Todo perfecto. ¡Gracias!
750,2,"Pedí chilaquiles sencillos y me dieron la mitad del plato, demasiado vacío, precios altos y calidad baja, y sigo sin ver a Mariana de capitana."
751,5,Visito mucho esta sucursal.
752,2,Desde que se salieron de Rappi han bajado. Ucho.
753,2,"Buen servicio, sigan así."
754,4,Buen servicio
755,4,Hasta el momento todo me gusta.
756,2,"Todo bien, gracias."
757,2,"Nos gusta precio, calidad y servicio. Nos gusta precio, calidad y servicio."
758,5,Las bebidas sí están un poco caras. De los alimentos no me quejo.
759,4,"Todo bien, gracias."
760,2,"Todo es muy rico, a excepción de los jugos verde y de naranja; son malísimos. Deberían dar la opción de cambiar los jugos por agua de horchata o tamarindo. Ya lo he mencionado en varias ocasiones."
761,2,"Pedí enfrijoladas y enchiladas y un hombre me los trajeron fríos, y pedí que me los calentaran."
762,2,Pedí quesadillas y las olvidaron. Harté que se volvía a pedir.
763,1,"Sucursal Luna Parc, mejorar sabor de pozole."
764,5,"Creo que hay una falla en la comunicación porque lo que se pone en el sistema no es lo que lleva a la mesa. Sin embargo, lo solucionaron de manera ágil."
765,5,Excelente sabor
766,2,Hay que ver que cuando uno pide varios platillos sería mejor especialmente porque se enfrían o como las tostadas se agrandan.
767,1,"Excelente servicio, muy buena comida."
768,2,Las tostadas ya saben a pasadas por el aceite.
769,4,Excelente servicio por parte de todo el personal.
770,4,"Todo muy bien, solo que los limones tienen muy poco jugo. 😁😁😁"
771,2,Nos gusta todo.
772,1,Sin comentarios
773,2,Que no corran los meseros.
774,2,Gracias por su atención.
775,4,Muy buen sabor y servicio.
776,2,Nos gusta todo.
777,2,Excelente servicio
778,4,"La atención fue muy amable y atenta a los cambios, ¡gracias!"
779,2,Muy buen servicio.
780,2,"Nos gusta precio, calidad y servicio."
781,4,"El servicio es de lo mejor desde la recepción hasta el pago de la cuenta. Felicidades, sigan así."
